title,popularity,vote_count,mdb_id,vote_average,release_date,genre
Spy Kids 3-D: Game Over,16.804000000000002,1330,12279,5.0,2003-07-25,sci-fi
The Lego Movie 2: The Second Part,20.33,1028,280217,6.6,2019-01-26,sci-fi
Hollow Man,22.13,1417,9383,5.8,2000-08-04,sci-fi
Atlantis: The Lost Empire,19.454,3012,10865,6.9,2001-06-02,sci-fi
Watchmen,24.898000000000003,5820,13183,7.3,2009-03-05,sci-fi
Jupiter Ascending,34.659,4890,76757,5.3,2015-02-04,sci-fi
Déjà Vu,23.523000000000003,2904,7551,6.8,2006-11-22,sci-fi
The League of Extraordinary Gentlemen,22.461,2495,8698,5.9,2003-07-11,sci-fi
Allegiant,28.981,4662,262504,6.0,2016-03-09,sci-fi
Daredevil,22.106,3282,9480,5.1,2003-02-14,sci-fi
Cowboys & Aliens,21.776,3466,49849,5.5,2011-07-29,sci-fi
In Time,29.827,7260,49530,6.9,2011-10-27,sci-fi
AVP: Alien vs. Predator,24.312,2537,395,5.7,2004-08-12,sci-fi
Cloverfield,21.74,4604,7191,6.6,2008-01-15,sci-fi
Ghost in the Shell,33.431999999999995,5761,315837,6.0,2017-03-29,sci-fi
Fantastic Four,24.614,4236,166424,4.4,2015-08-05,sci-fi
The Incredible Hulk,39.485,7322,1724,6.2,2008-06-12,sci-fi
The Happening,17.382,1992,8645,5.1,2008-06-11,sci-fi
The Island,26.20300000000001,3471,1635,6.6,2005-07-21,sci-fi
Limitless,19.843,7214,51876,7.2,2011-03-08,sci-fi
The Predator,28.1,2574,346910,5.3,2018-09-05,sci-fi
The Book of Eli,19.29,3984,20504,6.7,2010-01-11,sci-fi
Knowing,21.166,3178,13811,6.0,2009-03-19,sci-fi
I Am Number Four,20.967,3207,46529,6.1,2011-02-18,sci-fi
Resident Evil: Extinction,4.648,2505,7737,6.2,2007-09-20,sci-fi
Source Code,22.585,5244,45612,7.2,2011-03-30,sci-fi
The Last Witch Hunter,22.232,2496,274854,5.8,2015-10-21,sci-fi
Chronicle,18.271,3426,76726,6.7,2012-02-01,sci-fi
Power Rangers,26.281999999999996,3027,305470,6.2,2017-03-23,sci-fi
Contagion,74.021,3265,39538,6.5,2011-09-08,sci-fi
The First Purge,25.127,2263,442249,5.8,2018-07-04,sci-fi
A Wrinkle in Time,16.07,1258,407451,5.0,2018-03-08,sci-fi
Cloud Atlas,24.976,5019,83542,6.8,2012-10-26,sci-fi
Resident Evil: Apocalypse,11.194,2571,1577,6.3,2004-09-10,sci-fi
Blade: Trinity,20.329,2373,36648,5.8,2004-12-08,sci-fi
The Adjustment Bureau,20.122,2965,38050,6.7,2011-03-03,sci-fi
Ad Astra,506.974,2983,419704,6.0,2019-09-17,sci-fi
Lucy,33.77,11312,240832,6.3,2014-07-25,sci-fi
Predators,21.976,2261,34851,6.1,2010-07-03,sci-fi
Ender's Game,16.072,3966,80274,6.6,2013-10-23,sci-fi
The Time Machine,15.177,1283,2135,6.0,2002-03-04,sci-fi
The Invisible Man,135.005,1405,570670,7.1,2020-02-26,sci-fi
Nutty Professor II: The Klumps,10.024,811,12107,4.9,2000-07-27,sci-fi
Surrogates,16.553,2072,19959,6.0,2009-09-24,sci-fi
The Forgotten,12.169,662,10145,5.7,2004-09-24,sci-fi
The Chronicles of Riddick,9.684,2595,2789,6.4,2004-06-11,sci-fi
The Dark Tower,26.581,3334,353491,5.6,2017-08-03,sci-fi
Underworld: Evolution,17.491,2637,834,6.5,2006-01-12,sci-fi
The 5th Wave,24.407,4103,299687,5.9,2016-01-14,sci-fi
Treasure Planet,25.542,2370,9016,7.4,2002-11-26,sci-fi
10 Cloverfield Lane,27.59,5214,333371,6.9,2016-03-10,sci-fi
Race to Witch Mountain,14.856,1018,13836,5.6,2009-03-12,sci-fi
Planet 51,12.92,1265,16866,5.7,2009-11-19,sci-fi
The Hitchhiker's Guide to the Galaxy,21.43,2642,7453,6.7,2005-04-28,sci-fi
Chappie,37.968,5534,198184,6.7,2015-03-04,sci-fi
The Tuxedo,15.189,1111,10771,5.6,2002-09-27,sci-fi
The Cell,19.581,875,8843,6.2,2000-08-17,sci-fi
Transcendence,14.527000000000001,3903,157353,6.0,2014-04-16,sci-fi
Resident Evil,20.227999999999998,3952,1576,6.5,2002-03-15,sci-fi
The Stepford Wives,9.342,768,9890,5.6,2004-06-10,sci-fi
Journey to the Center of the Earth,19.307000000000002,3110,88751,5.9,2008-07-10,sci-fi
Life,24.486,4819,395992,6.4,2017-03-22,sci-fi
Where the Wild Things Are,12.585,1119,16523,6.4,2009-10-16,sci-fi
Evolution,20.441,1298,9397,5.9,2001-06-08,sci-fi
Riddick,16.691,2766,87421,6.2,2013-09-02,sci-fi
Paul,17.515,3452,39513,6.5,2011-02-14,sci-fi
The 6th Day,17.636,1160,8452,5.9,2000-11-17,sci-fi
The Butterfly Effect,24.732,4528,1954,7.5,2004-01-22,sci-fi
Paycheck,14.227,1070,9620,6.1,2003-12-25,sci-fi
Underworld: Rise of the Lycans,18.992,2414,12437,6.4,2009-01-22,sci-fi
The Purge,33.038000000000004,5593,158015,6.2,2013-05-31,sci-fi
Final Fantasy: The Spirits Within,17.791,872,2114,6.1,2001-07-02,sci-fi
28 Days Later,23.377,3875,170,7.2,2002-10-31,sci-fi
Jimmy Neutron: Boy Genius,14.475,506,12589,5.6,2001-12-21,sci-fi
Next,19.981,1810,1738,5.9,2007-04-24,sci-fi
Escape from Planet Earth,11.797,506,68179,5.8,2013-02-14,sci-fi
The Core,15.961,965,9341,5.6,2003-03-28,sci-fi
Death Race,24.087,2343,10483,6.1,2008-08-22,sci-fi
"Dude, Where's My Car?",15.122,1100,8859,5.4,2000-12-15,sci-fi
The One,14.694,842,10796,5.9,2001-11-02,sci-fi
Eternal Sunshine of the Spotless Mind,30.393,8993,38,8.1,2004-03-19,sci-fi
Babylon A.D.,18.887,1256,9381,5.5,2008-08-20,sci-fi
Children of Men,22.892,4255,9693,7.6,2006-09-22,sci-fi
The Adventures of Sharkboy and Lavagirl,19.993,805,14199,4.8,2005-06-10,sci-fi
Land of the Lost,11.587,751,18162,5.4,2009-06-05,sci-fi
The X Files: I Want to Believe,10.77,899,8836,5.6,2008-07-24,sci-fi
Star Wars: The Clone Wars,15.714,1001,12180,5.9,2008-08-05,sci-fi
The Watch,11.97,1525,80035,5.4,2012-07-26,sci-fi
Frequency,17.703,965,10559,7.2,2000-04-28,sci-fi
Star Trek: Nemesis,16.597,807,201,6.2,2002-12-13,sci-fi
The Giver,21.157,3422,227156,6.5,2014-08-11,sci-fi
Skyline,13.303,955,42684,4.8,2010-11-11,sci-fi
Space Chimps,10.807,274,11802,4.9,2008-07-17,sci-fi
The Darkest Hour,14.361,832,71469,5.0,2011-12-22,sci-fi
Hot Tub Time Machine,20.28,1572,23048,6.0,2010-03-26,sci-fi
Monster Trucks,15.175999999999998,501,262841,6.0,2016-12-26,sci-fi
Zathura: A Space Adventure,12.402999999999999,1961,6795,6.3,2005-11-06,sci-fi
28 Weeks Later,25.013,2496,1562,6.5,2007-04-26,sci-fi
The Lazarus Effect,11.852,930,243940,5.2,2015-01-29,sci-fi
The Host,13.322000000000001,3085,72710,6.3,2013-03-22,sci-fi
My Super Ex-Girlfriend,9.196,901,4474,4.9,2006-06-20,sci-fi
Mission to Mars,14.902999999999999,783,2067,5.9,2000-03-10,sci-fi
Sky Captain and the World of Tomorrow,15.945,766,5137,5.8,2004-09-17,sci-fi
Aliens in the Attic,12.21,621,20856,5.5,2009-07-31,sci-fi
Dragonball Evolution,13.546,1157,14164,2.6,2009-03-12,sci-fi
The Mist,23.212,2934,5876,6.8,2007-11-21,sci-fi
Elektra,19.493,1390,9947,4.8,2005-01-13,sci-fi
Doom,20.912,1251,8814,5.0,2005-10-20,sci-fi
Downsizing,14.114,2326,301337,5.1,2017-12-22,sci-fi
Pitch Black,11.912,2936,2787,6.8,2000-02-18,sci-fi
Æon Flux,21.863000000000003,1294,8202,5.5,2005-11-30,sci-fi
Daybreakers,16.892,1144,19901,6.2,2009-09-11,sci-fi
Meet Dave,11.365,869,11260,5.2,2008-07-08,sci-fi
K-PAX,17.519000000000002,1365,167,7.2,2001-10-22,sci-fi
9,19.881,2239,12244,6.8,2009-08-19,sci-fi
The Fourth Kind,13.628,910,22824,6.0,2009-11-06,sci-fi
Her,31.333,9386,152601,7.9,2013-12-18,sci-fi
Fantasy Island,27.442,183,539537,5.1,2020-02-12,sci-fi
Looper,16.962,7382,59967,6.8,2012-09-26,sci-fi
Land of the Dead,14.108,801,11683,6.0,2005-06-24,sci-fi
The World's End,23.738000000000003,3457,107985,6.7,2013-07-18,sci-fi
Push,19.626,1389,13455,6.0,2009-02-04,sci-fi
Earth to Echo,7.914,410,238603,5.7,2014-06-14,sci-fi
Red Dawn,11.151,951,60747,5.5,2012-11-21,sci-fi
Hellboy,23.477,1722,456740,5.3,2019-04-10,sci-fi
Recess: School's Out,11.041,181,19405,6.4,2001-01-27,sci-fi
Timeline,12.786,616,9562,5.6,2003-11-26,sci-fi
Annihilation,34.364000000000004,5398,300668,6.3,2018-02-22,sci-fi
Aliens vs Predator: Requiem,24.823,1519,440,4.9,2007-12-25,sci-fi
Overlord,20.932,1501,438799,6.6,2018-11-01,sci-fi
The Darkest Minds,16.197,1544,445651,6.8,2018-07-25,sci-fi
Dredd,23.84800000000001,3192,49049,6.7,2012-09-07,sci-fi
Quarantine,13.663,756,13812,5.7,2008-10-10,sci-fi
Gamer,17.204,1433,18501,5.7,2009-09-03,sci-fi
The Spirit,12.085999999999999,638,8285,4.7,2008-12-25,sci-fi
Serenity,22.638,2206,16320,7.4,2005-09-03,sci-fi
Clockstoppers,11.107000000000001,156,15028,5.1,2002-03-17,sci-fi
Ex Machina,35.125,9037,264660,7.6,2015-01-16,sci-fi
Titan A.E.,13.689,583,7450,6.5,2000-06-16,sci-fi
Victor Frankenstein,17.729,1360,228066,5.8,2015-11-10,sci-fi
Underwater,91.064,684,443791,6.5,2020-01-08,sci-fi
Red Planet,12.599,547,8870,5.5,2000-11-10,sci-fi
The Box,12.505,1138,22825,5.5,2009-09-17,sci-fi
Project Almanac,11.537,1618,227719,6.5,2015-01-28,sci-fi
Lockout,15.533,1151,81796,5.9,2012-04-12,sci-fi
Brightburn,24.374000000000002,1409,531309,5.9,2019-05-09,sci-fi
Sunshine,23.118000000000002,2228,1272,7.0,2007-04-05,sci-fi
Ultraviolet,14.214,874,9920,5.0,2006-03-03,sci-fi
Self/less,27.386999999999997,2057,238615,6.3,2015-07-10,sci-fi
Godsend,8.339,268,11058,5.0,2004-04-30,sci-fi
Solaris,10.228,752,2103,6.0,2002-11-27,sci-fi
Yu-Gi-Oh! The Movie,12.067,165,11052,5.7,2004-08-13,sci-fi
Teen Titans Go! To the Movies,17.729,505,474395,7.2,2018-07-27,sci-fi
Thunderbirds,11.161,178,14623,4.7,2004-07-23,sci-fi
The Thing,21.541,1680,60935,6.1,2011-10-12,sci-fi
The Last Mimzy,10.035,261,2267,6.1,2007-02-09,sci-fi
The Invisible,12.012,291,9785,6.1,2007-04-27,sci-fi
A Cure for Wellness,23.66800000000001,2451,340837,6.2,2017-02-15,sci-fi
Superhero Movie,16.695,1035,11918,5.1,2008-03-27,sci-fi
Rollerball,8.937000000000003,266,11535,3.9,2002-02-08,sci-fi
Apollo 18,11.728,569,50357,5.0,2011-07-20,sci-fi
Happy Death Day 2U,22.015,1746,512196,6.2,2019-02-13,sci-fi
Dark Skies,11.839,1120,145135,6.1,2013-02-21,sci-fi
Bloodshot,219.899,1563,338762,7.2,2020-03-05,sci-fi
Doomsday,15.197,673,13460,5.8,2008-03-14,sci-fi
Battlefield Earth,10.997,465,5491,2.9,2000-05-10,sci-fi
Pandorum,21.902,1409,19898,6.5,2009-09-08,sci-fi
The Circle,16.717,3135,339988,5.5,2017-04-27,sci-fi
Blindness,9.391,778,8338,6.5,2008-05-14,sci-fi
Thomas and the Magic Railroad,5.99,27,16110,4.6,2000-07-26,sci-fi
Left Behind,18.39,855,218043,4.1,2014-10-03,sci-fi
S1m0ne,9.715,535,9296,5.8,2002-08-23,sci-fi
Astro Boy,11.646,856,16577,6.1,2009-10-15,sci-fi
