,title,popularity,vote_count,id,vote_average,release_date,genre_ids
4,Passengers,18.28,9077,274870,6.9,2016-12-21,"[18, 878, 10749]"
5,Battleship,26.605,3645,44833,5.7,2012-04-11,"[28, 12, 878, 53]"
6,G.I. Joe: The Rise of Cobra,43.84,3167,14869,5.7,2009-08-04,"[28, 12, 878, 53]"
7,Resident Evil: Afterlife,0.8590000000000001,2416,35791,6.0,2010-09-09,"[28, 12, 27, 878]"
8,Real Steel,25.32800000000001,5201,39254,6.8,2011-09-28,"[28, 878, 18]"
9,Austin Powers in Goldmember,27.955,1993,818,5.9,2002-07-26,"[35, 80, 878]"
10,X-Men,1.652,7733,36657,7.0,2000-07-13,"[28, 12, 878]"
11,Insurgent,40.056,7495,262500,6.3,2015-03-18,"[28, 12, 878, 53]"
12,Pacific Rim: Uprising,25.068,2758,268896,5.9,2018-03-21,"[28, 12, 14, 878]"
13,Divergent,27.239,9249,157350,6.9,2014-03-14,"[28, 12, 878]"
14,Oblivion,29.804000000000002,7619,75612,6.5,2013-04-10,"[28, 12, 9648, 878]"
15,Elysium,22.593000000000004,6039,68724,6.4,2013-08-07,"[878, 28, 18, 53]"
16,Maze Runner: The Death Cure,32.31,4652,336843,7.0,2018-01-10,"[28, 878]"
17,John Carter,23.82800000000001,3756,49529,6.2,2012-03-07,"[28, 12, 878]"
18,Sonic the Hedgehog,266.911,2549,454626,7.5,2020-02-12,"[28, 35, 878, 10751]"
19,Robots,23.77,2937,9928,6.3,2005-03-10,"[16, 35, 878, 10751]"
0,Super 8,19.775,4493,37686,6.7,2011-06-08,"[9648, 878, 53]"
1,Blade Runner 2049,47.44300000000001,7989,335984,7.4,2017-10-04,"[18, 878]"
2,Men in Black: International,32.517,2347,479455,5.9,2019-06-12,"[35, 878]"
3,Glass,47.334,4878,450465,6.6,2019-01-16,"[53, 18, 878]"
4,Teenage Mutant Ninja Turtles: Out of the Shadows,21.604,2098,308531,5.9,2016-06-01,"[28, 12, 35, 878, 10751]"
5,Hulk,26.17,3693,1927,5.4,2003-06-19,"[28, 878]"
6,Dark Phoenix,49.40600000000001,3204,320288,6.0,2019-06-05,"[28, 12, 878]"
7,After Earth,19.471,4677,82700,5.1,2013-05-30,"[28, 12, 878]"
8,Pixels,33.369,5010,257344,5.6,2015-07-16,"[28, 35, 878]"
9,RoboCop,25.06,3805,97020,5.8,2014-01-30,"[28, 878]"
10,Assassin's Creed,15.91,5547,121856,5.4,2016-12-21,"[28, 12, 878]"
11,Resident Evil: Retribution,1.933,2601,71679,5.7,2012-09-12,"[28, 27, 878]"
12,A.I. Artificial Intelligence,26.806,4016,644,7.0,2001-06-29,"[12, 18, 878]"
13,Terminator: Dark Fate,55.556,1980,290859,6.4,2019-10-23,"[28, 878]"
14,The Day the Earth Stood Still,25.109,2021,10200,5.4,2008-12-10,"[18, 878, 53]"
15,Alien: Covenant,37.92,5587,126889,5.9,2017-05-09,"[27, 878, 53]"
16,Valerian and the City of a Thousand Planets,60.67100000000001,4880,339964,6.6,2017-07-20,"[28, 12, 878]"
17,Jumper,18.134,3645,8247,6.0,2008-02-13,"[28, 12, 878]"
18,Geostorm,28.029,2721,274855,5.8,2017-10-13,"[28, 878, 53]"
19,Green Lantern,19.642,4887,44912,5.1,2011-06-16,"[28, 12, 878, 53]"
0,District 9,23.301,6170,17654,7.4,2009-08-05,[878]
1,Tomorrowland,35.746,5136,158852,6.2,2015-05-19,"[12, 9648, 878, 10751]"
2,Vanilla Sky,19.26,2348,1903,6.8,2001-12-10,"[10749, 878, 14, 18, 53]"
3,Arrival,36.084,11913,329865,7.5,2016-11-10,"[18, 9648, 878]"
4,Battle: Los Angeles,17.164,2290,44943,5.6,2011-03-08,"[28, 878]"
5,Total Recall,26.076,3875,64635,5.9,2012-08-02,"[28, 12, 878, 53]"
6,Spy Kids 3-D: Game Over,16.804000000000002,1330,12279,5.0,2003-07-25,"[28, 12, 35, 878, 10751]"
7,The Lego Movie 2: The Second Part,20.33,1028,280217,6.6,2019-01-26,"[28, 12, 16, 35, 14, 878, 10751]"
8,Hollow Man,22.13,1417,9383,5.8,2000-08-04,"[28, 878, 53]"
9,Atlantis: The Lost Empire,19.454,3012,10865,6.9,2001-06-02,"[12, 16, 878, 10751]"
10,Watchmen,24.898000000000003,5820,13183,7.3,2009-03-05,"[28, 9648, 878]"
11,Jupiter Ascending,34.659,4890,76757,5.3,2015-02-04,"[28, 12, 14, 878]"
12,Déjà Vu,23.523000000000003,2904,7551,6.8,2006-11-22,"[28, 53, 878]"
13,The League of Extraordinary Gentlemen,22.461,2495,8698,5.9,2003-07-11,"[14, 28, 53, 878]"
14,Allegiant,28.980999999999998,4662,262504,6.0,2016-03-09,"[28, 12, 9648, 878]"
15,Daredevil,22.105999999999998,3282,9480,5.1,2003-02-14,"[28, 80, 14, 878, 53]"
16,Cowboys & Aliens,21.776,3466,49849,5.5,2011-07-29,"[28, 878, 53, 37]"
17,In Time,29.826999999999998,7260,49530,6.9,2011-10-27,"[28, 878, 53]"
18,AVP: Alien vs. Predator,24.311999999999998,2537,395,5.7,2004-08-12,"[28, 12, 27, 878]"
19,Cloverfield,21.74,4604,7191,6.6,2008-01-15,"[28, 878, 53]"
0,Ghost in the Shell,33.431999999999995,5761,315837,6.0,2017-03-29,"[28, 18, 878, 53]"
