Title,Popularity,Vote_Count,Vote_Average,Release_Date,Genre,Revenue,Subgenre
The Darkest Hour,14.360999999999999,832,5.0,2011-12-22,sci-fi,21443494,Alien_Invasion
Hot Tub Time Machine,20.28,1572,6.0,2010-03-26,sci-fi,50287556,Time_Travel
28 Weeks Later,25.013,2496,6.5,2007-04-26,sci-fi,28638916,Post_Apocalypse
28 Weeks Later,25.013,2496,6.5,2007-04-26,sci-fi,28638916,Future
The Host,13.322,3085,6.3,2013-03-22,sci-fi,26627201,Alien_Invasion
Sky Captain and the World of Tomorrow,15.945,766,5.8,2004-09-17,sci-fi,37762677,Robot
Æon Flux,21.863000000000003,1294,5.5,2005-11-30,sci-fi,25874337,Future
Her,31.333000000000002,9386,7.9,2013-12-18,sci-fi,25568251,Future
Looper,16.962,7382,6.8,2012-09-26,sci-fi,66486205,Time_Travel
Looper,16.962,7382,6.8,2012-09-26,sci-fi,66486205,Future
The World's End,23.738000000000003,3457,6.7,2013-07-18,sci-fi,26004851,Alien_Invasion
Hellboy,23.476999999999997,1722,5.3,2019-04-10,sci-fi,59623958,Superhero
Timeline,12.786,616,5.6,2003-11-26,sci-fi,19481943,Time_Travel
Ex Machina,35.125,9037,7.6,2015-01-16,sci-fi,25442958,Person_vs_Machine
Ex Machina,35.125,9037,7.6,2015-01-16,sci-fi,25442958,Robot
Titan A.E.,13.689,583,6.5,2000-06-16,sci-fi,22753426,Space_Opera
Project Almanac,11.537,1618,6.5,2015-01-28,sci-fi,22348241,Time_Travel
Lockout,15.533,1151,5.9,2012-04-12,sci-fi,14326864,Future
Sunshine,23.118,2228,7.0,2007-04-05,sci-fi,3675753,Future
Ultraviolet,14.214,874,5.0,2006-03-03,sci-fi,18535812,Future
Doomsday,15.197000000000001,673,5.8,2008-03-14,sci-fi,11008770,Post_Apocalypse
Doomsday,15.197000000000001,673,5.8,2008-03-14,sci-fi,11008770,Future
Battlefield Earth,10.997,465,2.9,2000-05-10,sci-fi,21471685,Alien_Invasion
Left Behind,18.39,855,4.1,2014-10-03,sci-fi,14019924,Post_Apocalypse
Left Behind,18.39,855,4.1,2014-10-03,sci-fi,14019924,Future
Left Behind,6.5310000000000015,70,4.0,2000-10-30,sci-fi,14019924,Post_Apocalypse
Left Behind,6.5310000000000015,70,4.0,2000-10-30,sci-fi,14019924,Future
Repo Men,16.451,1143,6.3,2010-03-18,sci-fi,13794835,Future
The Invasion,14.547,820,5.9,2007-08-17,sci-fi,15074191,Alien_Invasion
Upgrade,23.275,1882,7.4,2018-06-01,sci-fi,11977130,Robot
Upgrade,23.275,1882,7.4,2018-06-01,sci-fi,11977130,Future
A Sound of Thunder,10.241,201,4.6,2005-05-15,sci-fi,1900451,Time_Travel
Captive State,13.605,459,5.4,2019-03-15,sci-fi,5958315,Alien_Invasion
